"ID","GENRE_NAME","GENRE_CODE","REMARKS","DELETE_FLG","VERSION","CREATED","MODIFIED","MODIFIED_BY"
"1","総記","000","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"2","","001","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"3","知識. 学問. 学術","002","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"4","","003","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"5","","004","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"6","","005","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"7","","006","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"8","情報学. 情報科学","007","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"9","","008","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"10","","009","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"11","図書館. 図書館学","010","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"12","図書館政策. 図書館行財政","011","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"13","図書館建築. 図書館設備","012","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"14","図書館経営・管理","013","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"15","情報資源の収集・組織化・保存","014","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"16","図書館サービス. 図書館活動","015","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"17","各種の図書館","016","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"18","学校図書館","017","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"19","専門図書館","018","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"20","読書. 読書法","019","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"21","図書. 書誌学","020","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"22","著作. 編集","021","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"23","写本. 刊本. 造本","022","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"24","出版","023","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"25","図書の販売","024","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"26","一般書誌. 全国書誌","025","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"27","稀書目録. 善本目録","026","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"28","特種目録","027","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"29","選定図書目録. 参考図書目録","028","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"30","蔵書目録. 総合目録","029","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"31","百科事典","030","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"32","日本語","031","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
